id,description,code,name,keywords
540070014,"Azara, Apóstoles, Misiones",540070014,Azara,540070014
60490049,"Azul, Azul, Buenos Aires",060490049,Azul ,060490049
740426161,"Bagual, Gobernador Dupuy, San Luis",740426161,Bagual     ,740426161
60560056,"Bahía Blanca, Bahía Blanca, Buenos Aires",060560056,Bahía Blanca     ,060560056
581050224,"Bajada del Agrio, Picunches, Neuquén",581050224,Bajada del Agrio ,581050224
780499049,"Bajo Caracoles, Río Chico, Santa Cruz",780499049,Bajo Caracoles   ,780499049
60630063,"Balcarce, Balcarce, Buenos Aires",060630063,Balcarce   ,060630063
740566245,"Balde, Juan Martín de Pueyrredón, San Luis",740566245,Balde,740566245
141821603,"Ballesteros Sud, Unión, Córdoba",141821603,Ballesteros Sud  ,141821603
141821596,"Ballesteros, Unión, Córdoba",141821596,Ballesteros,141821596
141401183,"Balnearia, San Justo, Córdoba",141401183,Balnearia  ,141401183
340219035,"Banco Payagua, Laishi, Formosa",340219035,Banco Payagua    ,340219035
900140028,"Banda del Río Salí, Cruz Alta, Tucumán",900140028,Banda del Río Salí     ,900140028
860706126,"Bandera Bajada, Figueroa, Santiago del Estero",860706126,Bandera Bajada   ,860706126
860420049,"Bandera, Belgrano, Santiago del Estero",860420049,Bandera    ,860420049
300359193,"Banderas, Federal, Entre Ríos",300359193,Banderas   ,300359193
140282140,"Bañado de Soto, Cruz del Eje, Córdoba",140282140,Bañado de Soto   ,140282140
60700070,"Baradero, Baradero, Buenos Aires",060700070,Baradero   ,060700070
580910196,"Barrancas, Pehuenches, Neuquén",580910196,Barrancas  ,580910196
821053729,"Barrancas, San Jerónimo, Santa Fe",821053729,Barrancas  ,821053729
221400385,"Barranqueras, San Fernando, Chaco",221400385,Barranqueras     ,221400385
381126245,"Barrios, Yaví, Jujuy",381126245,Barrios    ,381126245
340359049,"Bartolomé de las Casas, Patiño, Formosa",340359049,Bartolomé de las Casas ,340359049
221400392,"Basail, San Fernando, Chaco",221400392,Basail     ,221400392
300980413,"Basavilbaso, Uruguay, Entre Ríos",300980413,Basavilbaso,300980413
740426168,"Batavia, Gobernador Dupuy, San Luis",740426168,Batavia    ,740426168
820212133,"Bauer y Sigel, Castellanos, Santa Fe",820212133,Bauer y Sigel    ,820212133
740566252,"Beazley, Juan Martín de Pueyrredón, San Luis",740566252,Beazley    ,740566252
100350063,"Belén, Belén, Catamarca",100350063,Belén,100350063
141821610,"Bell Ville, Unión, Córdoba",141821610,Bell Ville ,141821610
820212140,"Bella Italia, Castellanos, Santa Fe",820212140,Bella Italia     ,820212140
180070007,"Bella Vista, Bella Vista, Corrientes",180070007,Bella Vista,180070007
900560070,"Bella Vista, Leales, Tucumán",900560070,Bella Vista,900560070
861610175,"Beltrán, Robles, Santiago del Estero",861610175,Beltrán    ,861610175
140560392,"Bengolea, Juárez Celman, Córdoba",140560392,Bengolea   ,140560392
60840084,"Benito Juárez, Benito Juárez, Buenos Aires",060840084,Benito Juárez    ,060840084
141821617,"Benjamín Gould, Unión, Córdoba",141821617,Benjamín Gould   ,141821617
820142042,"Berabevu, Caseros, Santa Fe",820142042,Berabevu   ,820142042
60910091,"Berazategui, Berazategui, Buenos Aires",060910091,Berazategui,060910091
60980098,"Berisso, Berisso, Buenos Aires",060980098,Berisso    ,060980098
820492770,"Berna, General Obligado, Santa Fe",820492770,Berna,820492770
540490175,"Bernardo de Irigoyen, General Manuel Belgrano, Misiones",540490175,Bernardo de Irigoyen   ,540490175
821053736,"Bernardo de Irigoyen, San Jerónimo, Santa Fe",821053736,Bernardo de Irigoyen   ,821053736
420560049,"Bernardo Larroude, Chapaleufú, La Pampa",420560049,Bernardo Larroude,420560049
420140056,"Bernasconi, Caleu Caleu, La Pampa",420140056,Bernasconi ,420140056
420770056,"Bernasconi, Hucal, La Pampa",420770056,Bernasconi ,420770056
180140014,"Berón de Astrada, Berón de Astrada, Corrientes",180140014,Berón de Astrada ,180140014
140980784,"Berrotarán, Río Cuarto, Córdoba",140980784,Berrotarán ,140980784
300779520,"Betbeder, Nogoyá, Entre Ríos",300779520,Betbeder   ,300779520
140910665,"Bialet Massé, Punilla, Córdoba",140910665,Bialet Massé     ,140910665
820142049,"Bigand, Caseros, Santa Fe",820142049,Bigand     ,820142049
860916154,"Bobadal, Jiménez, Santiago del Estero",860916154,Bobadal    ,860916154
61050105,"Bolívar, Bolívar, Buenos Aires",061050105,Bolívar    ,061050105
820282420,"Bombal, Constitución, Santa Fe",820282420,Bombal     ,820282420
540210056,"Bonpland, Candelaria, Misiones",540210056,Bonpland   ,540210056
181190280,"Bonpland, Paso de los Libres, Corrientes",181190280,Bonpland   ,181190280
820072007,"Bouquet, Belgrano, Santa Fe",820072007,Bouquet    ,820072007
141472994,"Bouwer, Santa María, Córdoba",141472994,Bouwer     ,141472994
300700238,"Bovril, La Paz, Entre Ríos",300700238,Bovril     ,300700238
61120112,"Bragado, Bragado, Buenos Aires",061120112,Bragado    ,061120112
61190119,"Brandsen, Brandsen, Buenos Aires",061190119,Brandsen   ,061190119
861756273,"Brea Pozo, San Martín, Santiago del Estero",861756273,Brea Pozo  ,861756273
141401190,"Brinkmann, San Justo, Córdoba",141401190,Brinkmann  ,141401190
140350210,"Buchardo, General Roca, Córdoba",140350210,Buchardo   ,140350210
260918119,"Buen Pasto, Sarmiento, Chubut",260918119,Buen Pasto ,260918119
740420084,"Buena Esperanza, Gobernador Dupuy, San Luis",740420084,Buena Esperanza  ,740420084
340425056,"Buena Vista, Pilagás, Formosa",340425056,Buena Vista,340425056
900918497,"Buena Vista, Simoca, Tucumán",900918497,Buena Vista,900918497
140980791,"Bulnes, Río Cuarto, Córdoba",140980791,Bulnes     ,140980791
900070007,"Burruyacú, Burruyacú, Tucumán",900070007,Burruyacú  ,900070007
820562882,"Bustinza, Iriondo, Santa Fe",820562882,Bustinza   ,820562882
580910203,"Buta Ranquil, Pehuenches, Neuquén",580910203,Buta Ranquil     ,580910203
180630112,"Caá Catí, General Paz, Corrientes",180630112,Caá Catí   ,180630112
540700252,"Caa Yarí, Leandro N. Alem, Misiones",540700252,Caa Yarí   ,540700252
820632966,"Cabal, La Capital, Santa Fe",820632966,Cabal,820632966
140912469,"Cabalango, Punilla, Córdoba",140912469,Cabalango  ,140912469
660140042,"Cachi, Cachi, Salta",660140042,Cachi,660140042
820983694,"Cacique Ariacaiquin, San Javier, Santa Fe",820983694,Cacique Ariacaiquin    ,820983694
660210056,"Cafayate, Cafayate, Salta",660210056,Cafayate   ,660210056
820422588,"Caferata, General López, Santa Fe",820422588,Caferata   ,820422588
380350119,"Caimancito, Ledesma, Jujuy",380350119,Caimancito ,380350119
821330329,"Calchaquí, Vera, Santa Fe",821330329,Calchaquí  ,821330329
141190980,"Calchín Oeste, Río Segundo , Córdoba",141190980,Calchín Oeste    ,141190980
141190973,"Calchín, Río Segundo , Córdoba",141190973,Calchín    ,141190973
780140021,"Caleta Olivia, Deseado, Santa Cruz",780140021,Caleta Olivia    ,780140021
421260063,"Caleufú, Rancul, La Pampa",421260063,Caleufú    ,421260063
421470063,"Caleufú, Trenel, La Pampa",421470063,Caleufú    ,421470063
380350126,"Calilegua, Ledesma, Jujuy",380350126,Calilegua  ,380350126
700210021,"Calingasta, Calingasta, San Juan",700210021,Calingasta ,700210021
140072014,"Calmayo, Calamuchita, Córdoba",140072014,Calmayo    ,140072014
260280063,"Camarones, Florentino Ameghino, Chubut",260280063,Camarones  ,260280063
140630490,"Camilo Aldao, Marcos Juárez, Córdoba",140630490,Camilo Aldao     ,140630490
141543120,"Caminiaga, Sobremonte, Córdoba",141543120,Caminiaga  ,141543120
61260126,"Campana, Campana, Buenos Aires",061260126,Campana    ,061260126
820632973,"Campo Andino, La Capital, Santa Fe",820632973,Campo Andino     ,820632973
860140014,"Campo Gallo, Alberdi, Santiago del Estero",860140014,Campo Gallo,860140014
540140042,"Campo Grande, Cainguás, Misiones",540140042,Campo Grande     ,540140042
620420098,"Campo Grande, General Roca, Río Negro",620420098,Campo Grande     ,620420098
220700217,"Campo Largo, Independencia, Chaco",220700217,Campo Largo,220700217
821053743,"Campo Piaggio, San Jerónimo, Santa Fe",821053743,Campo Piaggio    ,821053743
661470364,"Campo Quijano, Rosario de Lerma, Salta",661470364,Campo Quijano    ,661470364
540910357,"Campo Ramón, Oberá, Misiones",540910357,Campo Ramón,540910357
660490105,"Campo Santo, General Güemes, Salta",660490105,Campo Santo,660490105
540910364,"Campo Viera, Oberá, Misiones",540910364,Campo Viera,540910364
141821624,"Canals, Unión, Córdoba",141821624,Canals     ,141821624
141683169,"Candelaria Sud, Totoral, Córdoba",141683169,Candelaria Sud   ,141683169
740070007,"Candelaria, Ayacucho, San Luis",740070007,Candelaria ,740070007
540210063,"Candelaria, Candelaria, Misiones",540210063,Candelaria ,540210063
820632980,"Candioti, La Capital, Santa Fe",820632980,Candioti   ,820632980
381126252,"Cangrejillos, Yaví, Jujuy",381126252,Cangrejillos     ,381126252
820560126,"Cañada de Gómez, Iriondo, Santa Fe",820560126,Cañada de Gómez  ,820560126
141681512,"Cañada de Luque, Totoral, Córdoba",141681512,Cañada de Luque  ,141681512
141052616,"Cañada de Machado, Río Primero, Córdoba",141052616,Cañada de Machado,141052616
140492266,"Cañada de Río Pinto, Ischilín, Córdoba",140492266,Cañada de Río Pinto    ,140492266
140072021,"Cañada del Sauce, Calamuchita, Córdoba",140072021,Cañada del Sauce ,140072021
820422595,"Cañada del Ucle, General López, Santa Fe",820422595,Cañada del Ucle  ,820422595
860356357,"Cañada Escobar, Banda, Santiago del Estero",860356357,Cañada Escobar   ,860356357
821334142,"Cañada Ombú, Vera, Santa Fe",821334142,Cañada Ombú,821334142
820282427,"Cañada Rica, Constitución, Santa Fe",820282427,Cañada Rica,820282427
821264044,"Cañada Rosquín, San Martín, Santa Fe",821264044,Cañada Rosquín   ,821264044
780145007,"Cañadón Seco, Deseado, Santa Cruz",780145007,Cañadón Seco     ,780145007
61340134,"Cañuelas, Cañuelas, Buenos Aires",061340134,Cañuelas   ,061340134
100420126,"Capayán, Capayán, Catamarca",100420126,Capayán    ,100420126
141052623,"Capilla de los Remedios, Río Primero, Córdoba",141052623,Capilla de los Remedios,141052623
141190987,"Capilla del Carmen, Río Segundo , Córdoba",141190987,Capilla del Carmen     ,141190987
140910672,"Capilla del Monte, Punilla, Córdoba",140910672,Capilla del Monte,140910672
141683176,"Capilla del Sitón, Totoral, Córdoba",141683176,Capilla del Sitón,141683176
540770294,"Capioví, Libertador General San Martín, Misiones",540770294,Capioví    ,540770294
460140014,"Capital, Capital, La Rioja",460140014,Capital    ,460140014
500070007,"Capital, Capital, Mendoza",500070007,Capital    ,500070007
821190266,"Capitán Bermúdez, San Lorenzo, Santa Fe",821190266,Capitán Bermúdez ,821190266
900708392,"Capitán Cáceres, Monteros, Tucumán",900708392,Capitán Cáceres  ,900708392
140630497,"Capitán General B. O'Higgins, Marcos Juárez, Córdoba",140630497,Capitán General B. O'Higgins ,140630497
61400140,"Capitán Sarmiento, Capitán Sarmiento, Buenos Aires",061400140,Capitán Sarmiento,061400140
221540434,"Capitán Solari, Sargento Cabral, Chaco",221540434,Capitán Solari   ,221540434
820913498,"Capivara, San Cristóbal, Santa Fe",820913498,Capivara   ,820913498
540840336,"Caraguatay, Montecarlo, Misiones",540840336,Caraguatay ,540840336
821190273,"Carcarañá, San Lorenzo, Santa Fe",821190273,Carcarañá  ,821190273
61470147,"Carlos Casares, Carlos Casares, Buenos Aires",061470147,Carlos Casares   ,061470147
821264051,"Carlos Pellegrini, San Martín, Santa Fe",821264051,Carlos Pellegrini,821264051
61540154,"Carlos Tejedor, Carlos Tejedor, Buenos Aires",061540154,Carlos Tejedor   ,061540154
61610161,"Carmen de Areco, Carmen de Areco, Buenos Aires",061610161,Carmen de Areco  ,061610161
820843386,"Carmen del Sauce, Rosario, Santa Fe",820843386,Carmen del Sauce ,820843386
820422602,"Carmen, General López, Santa Fe",820422602,Carmen     ,820422602
140560399,"Carnerillo, Juárez Celman, Córdoba",140560399,Carnerillo ,140560399
740216035,"Carolina, Coronel Pringles, San Luis",740216035,Carolina   ,740216035
180700137,"Carolina, Goya, Corrientes",180700137,Carolina   ,180700137
740496203,"Carpintería, Junín, San Luis",740496203,Carpintería,740496203
260568056,"Carrenleufú, Languiñeo, Chubut",260568056,Carrenleufú,260568056
820422609,"Carreras, General López, Santa Fe",820422609,Carreras   ,820422609
141190994,"Carrilobo, Río Segundo , Córdoba",141190994,Carrilobo  ,141190994
820562889,"Carrizales, Iriondo, Santa Fe",820562889,Carrizales ,820562889
420980070,"Carro Quemado, Loventué, La Pampa",420980070,Carro Quemado    ,420980070
421400070,"Carro Quemado, Toay, La Pampa",421400070,Carro Quemado    ,421400070
421122007,"Casa de Piedra, Puelén, La Pampa",421122007,Casa de Piedra   ,421122007
140912476,"Casa Grande, Punilla, Córdoba",140912476,Casa Grande,140912476
821053750,"Casalegno, San Jerónimo, Santa Fe",821053750,Casalegno  ,821053750
860076315,"Casares, Aguirre, Santiago del Estero",860076315,Casares    ,860076315
