id,description,code,name,keywords
1,No posee,1,No posee,no posee
2,Nombre fantasia,2,Nombre fantasia,nombre fantasia
3,Nombre establecimiento minero,3,Nombre establecimiento minero,nombre establecimiento minero
4,Nombre establecimiento agropecuario,4,Nombre establecimiento agropecuario,nombre establecimiento agropecuario
5,Nombre establecimiento de enseñanza,5,Nombre establecimiento de enseñanza,nombre establecimiento de enseñanza
6,Nombre buque,6,Nombre buque,nombre buque
7,Nombre planta pesquera en tierra,7,Nombre planta pesquera en tierra,nombre planta pesquera en tierra
